postal_code,Judet,localitate,Tip Artera,Denumire,Zona de livrare,Livrare sambata
10373,Bucuresti,Bucuresti,Piata,Romana nr. 2-4,0,DA
10374,Bucuresti,Bucuresti,Piata,Romana nr. 6,0,DA
10375,Bucuresti,Bucuresti,Piata,Romana nr. 8-T,0,DA
10381,Bucuresti,Bucuresti,Strada,"Tell Christian, g-ral. nr. 1-5",0,DA
10382,Bucuresti,Bucuresti,Strada,"Tell Christian, g-ral. nr. 7-17",0,DA
10383,Bucuresti,Bucuresti,Strada,"Tell Christian, g-ral. nr. 19-T",0,DA
10384,Bucuresti,Bucuresti,Strada,"Tell Christian, g-ral. nr. 2-16",0,DA
10385,Bucuresti,Bucuresti,Strada,"Tell Christian, g-ral. nr. 18-T",0,DA
10386,Bucuresti,Bucuresti,Intrare,"Tell Christian, g-ral.",0,DA
10391,Bucuresti,Bucuresti,Strada,Biserica Amzei nr. 1-9,0,DA
10392,Bucuresti,Bucuresti,Strada,Biserica Amzei nr. 11-27,0,DA
10393,Bucuresti,Bucuresti,Strada,Biserica Amzei nr. 29-T,0,DA
10394,Bucuresti,Bucuresti,Strada,Biserica Amzei nr. 2-14,0,DA
10395,Bucuresti,Bucuresti,Strada,Biserica Amzei nr. 16-T,0,DA
10401,Bucuresti,Bucuresti,Bulevard,Dacia nr. 1-9,0,DA
10402,Bucuresti,Bucuresti,Bulevard,Dacia nr. 11-15,0,DA
10403,Bucuresti,Bucuresti,Bulevard,Dacia nr. 17-33,0,DA
10404,Bucuresti,Bucuresti,Bulevard,Dacia nr. 35-41,0,DA
10405,Bucuresti,Bucuresti,Bulevard,Dacia nr. 43-49,0,DA
10406,Bucuresti,Bucuresti,Bulevard,Dacia nr. 51-55,0,DA
10407,Bucuresti,Bucuresti,Bulevard,Dacia nr. 57-67,0,DA
10411,Bucuresti,Bucuresti,Bulevard,Dacia nr. 2-6,0,DA
10412,Bucuresti,Bucuresti,Bulevard,Dacia nr. 8-24,0,DA
10413,Bucuresti,Bucuresti,Bulevard,Dacia nr. 26-30,0,DA
10414,Bucuresti,Bucuresti,Bulevard,Dacia nr. 32-36,0,DA
10415,Bucuresti,Bucuresti,Bulevard,Dacia nr. 38-42,0,DA
10416,Bucuresti,Bucuresti,Bulevard,Dacia nr. 44-50,0,DA
10421,Bucuresti,Bucuresti,Strada,Visarion I. C. nr. 1-9,0,DA
10422,Bucuresti,Bucuresti,Strada,Visarion I. C. nr. 11-T,0,DA
10423,Bucuresti,Bucuresti,Strada,Visarion I. C. nr. 2-6,0,DA
10424,Bucuresti,Bucuresti,Strada,Visarion I. C. nr. 8-T,0,DA
10431,Bucuresti,Bucuresti,Strada,Iorga Nicolae nr. 1-9,0,DA
10432,Bucuresti,Bucuresti,Strada,Iorga Nicolae nr. 11-17,0,DA
10433,Bucuresti,Bucuresti,Strada,Iorga Nicolae nr. 19-T,0,DA
10434,Bucuresti,Bucuresti,Strada,Iorga Nicolae nr. 2-14,0,DA
10435,Bucuresti,Bucuresti,Strada,Iorga Nicolae nr. 16-26,0,DA
10436,Bucuresti,Bucuresti,Strada,Iorga Nicolae nr. 28-T,0,DA
10437,Bucuresti,Bucuresti,Intrare,Iorga Nicolae,0,DA
10441,Bucuresti,Bucuresti,Intrare,"Tomescu Toma, dr.",0,DA
10442,Bucuresti,Bucuresti,Strada,Manu Gheorghe nr. 1-17,0,DA
10443,Bucuresti,Bucuresti,Strada,Manu Gheorghe nr. 19-27,0,DA
10444,Bucuresti,Bucuresti,Strada,Manu Gheorghe nr. 29-T,0,DA
10445,Bucuresti,Bucuresti,Strada,Manu Gheorghe nr. 2-12,0,DA
10446,Bucuresti,Bucuresti,Strada,Manu Gheorghe nr. 14-20,0,DA
10447,Bucuresti,Bucuresti,Strada,Manu Gheorghe nr. 22-T,0,DA
10448,Bucuresti,Bucuresti,Strada,Orlando nr. 1-T,0,DA
10449,Bucuresti,Bucuresti,Strada,Orlando nr. 2-T,0,DA
10451,Bucuresti,Bucuresti,Strada,Pitar Mos nr. 1-23,0,DA
10452,Bucuresti,Bucuresti,Strada,Pitar Mos nr. 25-T,0,DA
10453,Bucuresti,Bucuresti,Strada,Pitar Mos nr. 2-10,0,DA
10454,Bucuresti,Bucuresti,Strada,Pitar Mos nr. 12-T,0,DA
10455,Bucuresti,Bucuresti,Strada,Lupu Dionisie nr. 43-49,0,DA
10456,Bucuresti,Bucuresti,Strada,Lupu Dionisie nr. 51-55,0,DA
10457,Bucuresti,Bucuresti,Strada,Lupu Dionisie nr. 57-T,0,DA
10458,Bucuresti,Bucuresti,Strada,Lupu Dionisie nr. 50-72,0,DA
10459,Bucuresti,Bucuresti,Strada,Lupu Dionisie nr. 74-T,0,DA
10461,Bucuresti,Bucuresti,Strada,Jules Michelet nr. 1-13,0,DA
10462,Bucuresti,Bucuresti,Strada,Jules Michelet nr. 15-T,0,DA
10463,Bucuresti,Bucuresti,Strada,Jules Michelet nr. 2-T,0,DA
10464,Bucuresti,Bucuresti,Piata,Lahovari Alexandru,0,DA
10465,Bucuresti,Bucuresti,Intrare,Urali,0,DA
10471,Bucuresti,Bucuresti,Strada,Xenopol D. Alexandru nr. 1-7,0,DA
10472,Bucuresti,Bucuresti,Strada,Xenopol D. Alexandru nr. 9-T,0,DA
10473,Bucuresti,Bucuresti,Strada,Xenopol D. Alexandru nr. 2-T,0,DA
10474,Bucuresti,Bucuresti,Strada,Columb Cristofor nr. 1-T,0,DA
10475,Bucuresti,Bucuresti,Strada,Columb Cristofor nr. 2-T,0,DA
10476,Bucuresti,Bucuresti,Strada,"Grigorescu Eremia, g-ral. nr. 1-T",0,DA
10477,Bucuresti,Bucuresti,Strada,"Grigorescu Eremia, g-ral. nr. 2-T",0,DA
10478,Bucuresti,Bucuresti,Intrare,Sfatului,0,DA
10481,Bucuresti,Bucuresti,Intrare,Armasului nr. 1-5,0,DA
10482,Bucuresti,Bucuresti,Intrare,Armasului nr. 7-T,0,DA
